valueLoss,policyLoss
0.1157,7.4604
0.1576,7.5981
0.1334,7.3293
0.1202,7.1093
0.1269,6.7586
0.1079,6.7668
0.1128,6.8176
0.1035,6.5685
0.1240,6.6965
0.1197,6.9558
0.1175,6.5997
0.1183,6.7766
0.1124,7.2133
0.0997,7.5939
0.0847,7.3065
0.0800,7.2760
0.1057,7.3612
0.0969,7.2345
0.1079,7.0883
0.1225,7.1337
0.1012,7.2525
0.1116,7.4087
0.1021,7.5962
0.1024,7.7470
0.1161,8.3600
0.1117,8.2135
0.1298,8.0308
0.1504,7.7856
0.1370,7.8369
0.1159,7.6883
0.1206,7.3968
0.1243,7.2751
0.1048,7.2574
0.0967,7.0942
0.0851,6.7041
0.1404,7.0903
0.1401,7.5028
0.1180,7.3345
0.1307,7.7914
0.1264,7.9879
0.1261,7.8925
0.1451,7.6701
0.1206,7.3969
0.1259,7.2920
0.1252,7.4264
0.0995,7.2438
0.1258,7.3439
0.1068,7.4503
0.0877,7.3844
0.1144,7.3701
0.1086,7.3096
0.1213,7.5246
0.1208,7.4835
0.1031,7.2930
0.1243,7.5733
0.0788,7.8317
0.0888,7.0128
0.0933,6.8815
0.0996,7.0708
0.1009,6.8448
0.0891,7.0173
0.0935,6.7141
0.1028,6.2374
0.1030,6.0167
0.0798,6.0088
0.0950,6.0543
0.0963,6.2503
0.1010,6.3215
0.0870,6.4532
0.0903,6.4895
0.0764,6.3821
0.0676,6.4463
0.0674,6.5653
0.0561,6.3418
0.0520,6.4362
0.0977,6.7573
0.0774,7.0522
0.0759,6.8734
0.0714,7.0197
0.0927,7.0209
0.0906,7.3205
0.1121,7.3244
0.0809,7.3101
0.0974,7.5671
0.0908,7.5319
0.0873,7.5061
0.0801,7.3661
0.0916,7.1371
0.0836,7.2442
0.1007,7.3603
0.0988,6.9628
0.0848,6.7273
0.1010,6.5906
0.0891,6.8006
0.1176,6.8287
0.1118,6.9557
0.0886,6.6466
0.0891,6.7390
0.0827,6.9380
0.1018,7.0581
0.1392,7.0262
